DrugBankID	GeneName
O60701	UGDH
P07327	ADH1A
Q00796	SORD
P08319	ADH4
P00326	ADH1C
P00325	ADH1B
P40394	ADH7
P21695	GPD1
Q6ZMR3	LDHAL6A
P11766	ADH5
Q99714	HSD17B10
P40926	MDH2
P00338	LDHA
P23368	ME2
P51659	HSD17B4
Q9BYZ2	LDHAL6B
P07864	LDHC
P07195	LDHB
Q08426	EHHADH
Q16836	HADH
Q16798	ME3
Q02338	BDH1
P40925	MDH1
P31937	HIBADH
P37058	HSD17B3
P04035	HMGCR
P48163	ME1
O43175	PHGDH
P56937	HSD17B7
P51553	IDH3G
O43837	IDH3B
P50213	IDH3A
P14061	HSD17B1
P37059	HSD17B2
Q92781	RDH5
O95479	H6PD
Q92506	HSD17B8
P17516	AKR1C4
P12268	IMPDH2
P42330	AKR1C3
P15428	HPGD
Q13630	TSTA3
Q04828	AKR1C1
P28845	HSD11B1
P26439	HSD3B2
P14060	HSD3B1
P20839	IMPDH1
P40939	HADHA
P05091	ALDH2
P80365	HSD11B2
P52895	AKR1C2
Q15738	NSDHL
P48448	ALDH3B2
Q02252	ALDH6A1
P30838	ALDH3A1
P00352	ALDH1A1
O14556	GAPDHS
P49189	ALDH9A1
P47895	ALDH1A3
P30837	ALDH1B1
P43353	ALDH3B1
P04406	GAPDH
O94788	ALDH1A2
P51648	ALDH3A2
P49419	ALDH7A1
Q96C36	PYCR2
P32322	PYCR1
P29803	PDHA2
P08559	PDHA1
P53004	BLVRA
P16219	ACADS
P00374	DHFR
Q02218	OGDH
Q9UBM7	DHCR7
P16083	NQO2
P03891	MT-ND2
P03897	MT-ND3
O75251	NDUFS7
P30038	ALDH4A1
P00387	CYB5R3
Q86Y39	NDUFA11
P03905	MT-ND4
P09417	QDPR
P03886	MT-ND1
Q13423	NNT
Q16718	NDUFA5
Q16795	NDUFA9
P03901	MT-ND4L
O95299	NDUFA10
O95182	NDUFA7
O15239	NDUFA1
P03923	MT-ND6
P03915	MT-ND5
O00483	NDUFA4
P56556	NDUFA6
O14561	NDUFAB1
O43678	NDUFA2
P51970	NDUFA8
O95167	NDUFA3
O95169	NDUFB8
O95298	NDUFC2
O75438	NDUFB1
P28331	NDUFS1
O96000	NDUFB10
O95168	NDUFB4
O43676	NDUFB3
O95178	NDUFB2
P17568	NDUFB7
Q9Y6M9	NDUFB9
O75306	NDUFS2
O43674	NDUFB5
O43677	NDUFC1
O95139	NDUFB6
P56181	NDUFV3
P09622	DLD
O75489	NDUFS3
Q9UI09	NDUFA12
O43920	NDUFS5
O43181	NDUFS4
P49821	NDUFV1
P19404	NDUFV2
Q9P0J0	NDUFA13
O75380	NDUFS6
Q9NRX3	NDUFA4L2
O00217	NDUFS8
Q02928	CYP4A11
P10515	DLAT
Q15800	MSMO1
