DrugBankID	GeneName
P42126	ECI1
P11310	ACADM
Q9X4K7	pccB
P17297	bphC
P0A108	doxG
P17600	SYN1
O14874	BCKDK
P54278	PMS2
P62219	recA
P42443	recA
Q59560	recA
P15043	recQ
P06710	dnaX
P9WI81	pknB
Q7BK04	cag-alfa
P18843	nadE
P0A6F3	glpK
Q15075	EEA1
P04164	cycA
P0A6L6	nanA
P01303	NPY
Q83P33	purA
Q56748	sud
Q9RVD6	trpS2
P04391	argI
Q05315	CLC
P18357	blaR1
P39593	thiM
P20813	CYP2B6
Q83JC4	tufA
Q83JC4	tufB
Q93EK7	lgtC
P81989	punA
P00973	OAS1
P11488	GNAT1
P0A9D2	gstA
Q54468	chb
P9WNG3	fabH
P41235	HNF4A
P98155	VLDLR
Q9NZD2	GLTP
Q9UNK4	PLA2G2D
Q9I194	pvdQ
P32169	rhaD
P0AB87	fucA
P0AB74	kbaY
P0AB71	fbaA
O94766	B3GAT3
Q46444	qheDH
P09546	putA
P00746	CFD
P30419	NMT1
P0ABF6	cdd
P0A820	metK
Q57193	ctxB
P78368	CSNK1G2
P11413	G6PD
P0CG04	IGLC1
P01709	IGLV2-8
Q03403	TFF2
P00091	cycA
O68601	nir
O43612	HCRT
P80075	CCL8
P03950	ANG
P0DJ06	SAP2
P0ABA0	atpF
P04062	GBA
P34024	plcA
O14735	CDIPT
P9WKD7	rpiB
P07254	chiA
P52045	scpB
Q92876	KLK6
P00775	sprT
Q9Q2G8	ORF
P0A9E0	araC
P02924	araF
P21905	atpE
P37747	glf
P39662	hmp
P16435	POR
Q92947	GCDH
P61497	phr
Q96RQ9	IL4I1
P42593	fadH
Q56839	xecC
P0A9P4	trxB
P0AEZ1	metF
P26440	IVD
Q9AGP8	dmg
P37062	npr
P21890	petH
P38038	cysJ
Q44532	fpr
O95831	AIFM1
Q52437	bphA4
Q888A4	PSPTO_1126
P00914	phrB
P05327	phr
P10902	nadB
P77967	cry
Q9Z4P0	ifcA
Q9UHQ9	CYB5R1
P22570	FDXR
Q15067	ACOX1
P08373	murB
P55789	GFER
P61432	murB
P24232	hmp
Q9LAG2	pheA2
Q9RA47	metF
P16640	camA
P9WHH7	lpdA
P9WIQ1	glf
P55792	abfD
P09788	pchF
P19480	ahpF
Q51225	m-6
Q94655	GR2
Q47PU3	pamO
P07771	benC
Q72JJ3	TT_C0779
Q9KIE5	fkbI
P09063	lpdV
P14218	lpd
P35340	ahpF
P58558	petH
P28861	fpr
Q9RC23	mrsD
P07024	ushA
Q51705	nosZ
P19821	polA
O68874	aqpZ
Q93RD8	puhA
P60844	aqpZ
Q02761	petB
Q02762	petA
Q02760	petC
P32019	INPP5B
P12998	bioF
P95780	rmlB
Q8GIQ0	rmlC
P16608	trpA
P00929	trpA
P0A2K1	trpB
O31156	phnX
P32320	CDA
P59676	pbpX
Q9XBQ3	abfA
P15151	PVR
Q8GR64	qbdA
P27505	pqqC
Q9Z4J7	exaA
Q08638	bglA
Q96QU6	ACCS
Q9HAN9	NMNAT1
Q837V6	ligA
P38489	nfsB
P18548	cefE
P0A8X2	yceI
P16099	tmd
Q9F0J6	roo
Q9WZW1	TM_0857
Q51990	morB
Q56691	frp
O75676	RPS6KA4
Q51793	phzG
Q9NYQ3	HAO2
Q9RYU4	DR_A0214
P61949	fldA
P50740	fni
Q60049	nox
Q46604	DvMF_2023
Q81EW9	BC_1844
Q96CD2	PPCDC
O69755	phzG
P55038	gltS
P0AFI7	pdxH
P0A2Y7	aroC
P63462	azoR
P30197	epiD
P56122	aroC
P0A3D9	isiB
P00323	DVU_2680
P10340	isiB
Q8DW21	SMU_260
Q9WXV1	TM_0096
P50618	nrdI
P69772	ecdB
P20932	mdlB
O07529	azr
Q9ZK53	fldA
O00141	SGK1
Q01234	nfsB
Q9FDN7	fprA
Q746I8	fni
Q9HTQ2	dadX
P00861	lysA
Q5KUI2	glyA
Q9WY54	gcvT
P77398	arnA
Q9RZ04	DR_A0149
P94548	fadR
Q9RHZ6	malE
P0A721	tmk
P24425	TK
Q9WYE2	TM_0306
Q53547	estB
P04179	SOD2
P23946	CMA1
Q9REC4	MOD
P03422	P/V
P72181	nirS
P19622	EN2
P50597	rph
Q9Y275	TNFSF13B
Q9Y6I3	EPN1
P10600	TGFB3
P0ABK9	nrfA
Q55013	psbV
P54820	cycM
P00101	nirM
P00137	cyd
P81040	Ddes_2150
Q9RN68	Ddes_2038
P14532	ccpA
P00132	DvMF_2499
P00148	cycP
Q9L915	cytc3
P24474	nirS
P24092	hmcA
Q9RQB9	cycA
Q52369	cc4
O33830	aglA
P19531	amyM
P45494	pepV
P03474	NA
P09382	LGALS1
P03765	ninB
Q96GD3	SCMH1
P02930	tolC
P0A8M5	thrS
Q8NW68	thrS
Q9XB59	carC
P04036	dapB
P31491	yerA
Q12965	MYO1E
Q14565	DMC1
O34598	guaD
P26514	xlnA
P04252	vhb
Q816R0	moaB
P14739	UGI
Q9ZNA2	recR
P0A6B1	acpP
P74645	kaiB
P06988	hisD
P61925	PKIA
Q9KFR4	BH0413
P33590	nikA
Q6PHW0	IYD
Q86WA6	BPHL
O67040	ppx
O53240	Rv2991
P9WG35	tpx
P55210	CASP7
Q59675	xyn10C
Q9KB30	BH2105
P09850	xlnA
Q8RJN8	xyl
O68541	xynC
P15309	ACPP
P0A751	murA
Q97R46	glmU
P26572	MGAT1
P51178	PLCD1
P35241	RDX
Q8RQP5	ispF
Q9LAK3	cst-II
P9WP01	punA
P33316	DUT
O15923	Tcdut
P03371	pol
P0AA43	rsuA
P10186	UL2
Q8X444	ung
Q5SKC5	udg
P77836	pdp
P43985	cmoA
P31434	yicI
P22749	GNLY
P39621	spsA
Q8T8E9	galE
P14779	cyp102A1
P34096	RNASE4
Q47066	bla
P0A789	pyrB
P15770	aroE
P44801	asd
P0C188	pntB
P0AEK2	fabG
Q6UWP2	DHRS11
P76187	ydhF
Q16698	DECR1
Q9WYS2	TM_0441
P80874	yhdN
P55818	mtdA
Q9X022	TM_0920
P06632	dkgA
P46336	iolS
Q14914	PTGR1
Q9WZS7	TM_0820
Q56694	aldH
Q9X0A2	TM_1009
P07650	deoA
P0AE12	amn
Q9AIU0	ttgR
Q9P2N6	KANSL3
P0A9Z7	bla
Q9FA38	fae
Q8WVQ1	CANT1
Q746L7	TT_P0036
P50750	CDK9
Q00534	CDK6
P49336	CDK8
P19438	TNFRSF1A
Q06278	AOX1
O08398	ftsZ
P13100	THYA
Q56320	trpF
P00909	trpC
P0AF93	ridA
P69795	chbB
P69908	gadA
Q9KL51	VC_A0897
P19079	cdd
P0AFK9	potD
Q5SHF5	panC
P25053	tenI
Q81VW8	folP
P9WND1	folP1
P09958	FURIN
P9WK83	lipB
Q6ZZJ1	tcp14
P13009	metH
Q8GGK7	ppcA
P25553	aldA
P31224	acrB
P33517	ctaD
Q03736	ctaC
Q873X9	chiB1
P02775	PPBP
P49366	DHPS
Q0P8G4	dut
P00644	nuc
P42790	pcp
Q9K2N0	blaVIM-2
Q9X0G9	TM_1080
P07711	CTSL
Q5MYR6	prx
P43522	def
Q9H4G4	GLIPR2
Q9X0P2	TM_1158
P96113	def
P04531	1
P30305	CDC25B
Q47NK3	Tfu_1933
Q9WZI0	upp
Q96AZ6	ISG20
P25971	pyrF
Q5KUI3	upp
Q83LD8	ispE
P13001	bioH
P0A921	pldA
Q5SKH7	TTHA0666
Q70GK9	flA
Q64822	L5
P25311	AZGP1
Q64823	L5
P05451	REG1A
P32884	HN
P26392	rfbD
P06132	UROD
P05884	env
O34928	pdaA
Q9Y286	SIGLEC7
P24670	aroD
O85361	hex
Q9ZGH3	desIV
P26391	rfbB
P0AFB1	nlpI
Q8UCK6	dps
P44160	HI_1317
P12996	bioB
P07585	DCN
P36956	SREBF1
Q15120	PDK3
P0DM80	phoQ
P0CI79	thyA1
Q9R5V5	ntd
O31158	cpo
P25774	CTSS
P9WPQ5	bioD
P55055	NR1H2
P0ACQ4	oxyR
P06993	malT
P52758	RIDA
O67987	clcA
P51151	RAB9A
O31168	cpo
Q5PXQ6	chqB
Q52546	repA
P31057	panB
Q14541	HNF4G
O43617	TRAPPC3
Q9X1H9	TM_1468
P00709	LALBA
P08773	42
Q8VTT5	hyuA
P13661	bla
P81006	lhyD
P0A0N5	qacR
P60906	hisS
P0A6Q5	fabA
P0A6Q3	fabA
P25006	nirK
P0AEG6	dsbC
P0A6Y5	hslO
P76270	msrC
Q88H32	ocd
P0A8D6	ymdB
P36405	ARL3
P52664	blaB
P45314	HI_1679
Q9Y468	L3MBTL1
P54548	rnz
Q9X9L0	mglB
Q9X5N2	pep
Q8IWL2	SFTPA1
Q6NXR0	IRGC
P69923	fucI
O32449	pip
Q48255	aroQ
Q9UNA0	ADAMTS5
Q8I3X4	PF3D7_0513300
P51852	ipdC
Q7NSZ5	CV_3270
P39639	bacB
A1A2B5	pheA
Q03393	PTS
P31012	tpl
P31013	tpl
O67636	tyrA
P35222	CTNNB1
Q8XB74	msrP
O14983	ATP2A1
P00558	PGK1
Q8ZKR2	STM4066
Q12756	KIF1A
Q72K87	coaD
Q9WZK0	coaD
P0AB77	kbl
P36897	TGFBR1
P29508	SERPINB3
P36275	shp
Q84424	A103R
Q06110	cagA
P25524	codA
P16115	ldh
P37551	purR
P02741	CRP
Q96BH3	ELSPBP1
P0A076	hlgB
P0CK31	L1
Q9Y678	COPG1
Q13426	XRCC4
P0A745	msrA
P37001	pagP
P0AD64	bla
P69488	cutA
P03234	BVRF2
P83453	tyrS
Q5UPJ7	YARS
P51687	SUOX
P18509	ADCYAP1
P39265	alsB
P12564	HN
Q02834	nedA
Q9RP17	nspA
P12429	ANXA3
P52732	KIF11
P25275	lip
P00167	CYB5A
P42085	xpt
P20964	obg
Q9LCC8	daaA
P06129	btuB
P00646	ceaC
P52197	rhdA
Q9RN59	snoaL
Q9X2W8	pph
P53355	DAPK1
Q9JZW6	panB
P9WQB3	leuA
P0A6C8	argB
Q9HTN2	argB
P02974	pilE1
P13036	fecA
P0A808	frr
P0A805	frr
P13254	mdeA
P00935	metB
Q5SJ28	deoC
P0A6L0	deoC
P15034	pepP
P54455	nadD
O25096	nadE
P05100	tag
Q9UQM7	CAMK2A
P22314	UBA1
P60339	tufB
P0A7Z3	rpiA
P0CG29	GSTT2
P38424	engB
P11124	P2
P61587	RND3
Q15382	RHEB
P0A6T8	folE
P32173	mobA
P43099	odcI
P10114	RAP2A
P08574	CYC1
P00156	MT-CYB
P31930	UQCRC1
P22695	UQCRC2
P07919	UQCRH
O14949	UQCRQ
P47985	UQCRFS1
P14927	UQCRB
Q9UDW1	UQCR10
Q16134	ETFDH
P10384	fadL
P0AGG2	tesB
P0C0Y8	pufL
P0C0Y9	pufM
P0C0Y7	puhA
P98002	ctaDII
P08306	ctaC
P01593	IGKV1D-33
P01764	IGHV3-23
P07173	pufC
P06008	puhA
P06009	pufL
P06010	pufM
P60981	DSTN
P0C0X8	cycA
Q14494	NFE2L1
P42512	fptA
P0A915	ompW
P06716	cia
P23528	CFL1
P76045	ompG
P07110	papC
P69856	nanC
Q3J170	puhA
Q3J1A5	pufL
Q3J1A6	pufM
Q5RT80	porB
A0A0H2WWQ9	pbp2
Q46704	traO
Q46705	traF
Q46702	traN
Q4KH25	PFL_1329
Q9GZU7	CTDSP1
P75792	ybiV
P61713	ribH2
P11998	ribH
Q9RYA6	menC
P17213	BPI
P05896	gag-pol
P0A1X3	mxiM
P0A1X2	mxiM
Q7DB61	grlR
Q6PKH6	DHRS4L2
P56194	hisS
P29973	CNGA1
Q9BVJ7	DUSP23
P25705	ATP5F1A
P06576	ATP5F1B
P36542	ATP5F1C
Q6NVY1	HIBCH
Q5G940	fabZ
O94768	STK17B
P60709	ACTB
O00303	EIF3F
P54652	HSPA2
Q9Y230	RUVBL2
Q15393	SF3B3
P17676	CEBPB
P0A917	ompX
P0A910	ompA
P39767	opmA
P02931	ompF
Q48152	hia
P05695	oprP
P32722	oprD
Q9HUR5	opdK
Q9RBW8	tbuX
A5W4F4	Pput_2883
Q9HVJ6	PA4589
Q72JD8	TT_C0834
O33407	estA
P00778	alpha-LP
P0AGE0	ssb
O31440	cypC
P00808	penP
P9WP23	dapB
P0A955	eda
O14964	HGS
P11922	YPTB1668
P13299	ITEVIR
P10930	12
Q2QJL3	purE
P38516	rplD
P15086	CPB1
P03277	L3
O33833	bfrA
P46849	rtcA
Q9HB21	PLEKHA1
P21408	fbpA
Q9WZ40	ftsY
P0A753	nadD
Q9X286	nusB
Q9CBQ2	nrdF
P9WN39	glnA1
P9WN38	glnA1
P33644	yfiH
P44725	rpiA
P04079	guaA
Q9BY32	ITPA
Q37875	17
Q9X1F0	TM_1436
P32427	pcaB
P06672	pdc
P07384	CAPN1
Q56268	leuB
P16006	CD
P0AFM2	proX
P02925	rbsB
P36946	rbsD
A0A0H2UQB5	licC
Q8WUI4	HDAC7
P9WQD9	kasA
P68826	def
Q93LE9	def
Q819U0	def1
Q819K2	def2
Q82ZJ0	def
P68771	def
Q9HBH1	PDF
Q9X1F8	der
P32056	gmm
P41091	EIF2S3
P63096	GNAI1
P40616	ARL1
P62826	RAN
P51149	RAB7A
P15170	GSPT1
P61586	RHOA
P18085	ARF4
P21980	TGM2
P11233	RALA
Q01698	tuf
Q96KC2	ARL5B
Q26000	rab6
P22392	NME2
Q51366	gmd
Q9X242	rsgA
Q9Y6B6	SAR1B
Q9Y689	ARL5A
P00864	ppc
P53582	METAP1
Q8YSC4	alr3165
P60484	PTEN
Q9S400	aroA
P04015	E2
P9WKK7	icl
P9WGY3	rraA
Q8Z2X8	lsrB
Q6GII7	aroD
P19835	CEL
P36683	acnB
P49759	CLK1
P77425	allC
Q9AQS0	xly
O24990	fabI
P0A6H7	hslU
P29323	EPHB2
Q04230	trwB
P55072	VCP
Q96QT4	TRPM7
P49368	CCT3
Q9WZ57	TM_0588
Q9RA63	clpB
P37093	epsE
P23837	phoQ
P20083	parE
P51570	GALK1
P0A7G9	recA
Q06609	RAD51
P03960	kdpB
P0AEJ4	envZ
Q99661	KIF2C
Q16877	PFKFB4
P0A3Y5	aphA
P02920	lacY
Q9RW27	DR_0842
P61457	PCBD1
P77674	prr
P0A3S0	ncsA
P52687	citA
P01270	PTH
P20823	HNF1A
Q9X112	metE
Q9WYA5	TM_0268
P0C0E6	TK
P80099	mgtA
P35749	MYH11
P60493	rpmA
Q9HZZ3	ohr
Q9RC92	ugl
P65389	moaA
Q02192	bca
Q9UJ68	MSRA
O87949	torD
O15169	AXIN1
Q9L6V3	fpr
P0A6A8	acpP
P53554	bioI
P0A6W9	gshA
Q16740	CLPP
Q92696	RABGGTA
P53611	RABGGTB
P03989	HLA-B
P09152	narG
P11349	narH
P11350	narI
P29377	S100G
P00269	rub
P23882	fmt
P0C1V1	hld
P0CG48	UBC
A5HEI4	atpH
P39300	ulaG
P19909	spg
Q93D82	hheC
O00182	LGALS9
P44490	kdsB
P02778	CXCL10
O75976	CPD
Q9KX40	estB
P36204	pgk/tpi
P19429	TNNI3
P06983	hemC
Q54276	chiB
O32723	spoIIAA
P51584	xynY
Q9UL54	TAOK2
Q03721	KCNC4
Q15796	SMAD2
P07515	ptsH
O00187	MASP2
Q9AFC7	gtfD
P96558	gtfA
P36952	SERPINB5
P9WH11	rmlC
O60493	SNX3
P39805	licT
Q9ULY5	CLEC4E
Q53591	hylB
Q9KWU1	aly
P51800	CLCNKA
O60656	UGT1A9
P0A0Z8	neuA
P14169	rfbE
Q59334	hemB
P29768	nanH
P0C0H6	guaB
P0A9M2	hpt
Q57VC7	Tb927.5.1360
Q16769	QPCT
P22869	mmoX
P35914	HMGCL
Q1LCS4	nbaC
Q8TF76	HASPIN
P30291	WEE1
Q84EX5	radh
Q8Q3H0	pol
O52646	acma
P0A1F6	udp
P0AC41	sdhA
P07014	sdhB
P69054	sdhC
P0AC44	sdhD
P21673	SAT1
P35961	env
Q8P9V9	bcp
P83791	petB
P83794	petC
P83792	petD
P83793	petA
P83797	petG
P83795	petL
P83796	petM
P83798	petN
P0C2P0	bsd
P06709	birA
P15813	CD1D
P11509	CYP2A6
P13981	arcA
P01877	IGHA2
Q13285	NR5A1
Q8II92	PF3D7_1127100
Q93LD7	opdA
P60472	ispU
Q03426	MVK
A9JQL9	crtM
Q8XL08	nagJ
Q96GD4	AURKB
Q13464	ROCK1
A0R559	ispF
O60674	JAK2
O43293	DAPK3
P52333	JAK3
P29597	TYK2
P29827	cinA
P9WHU1	prcA
P9WHT9	prcB
P0A444	psbA1
Q96LB9	PGLYRP3
P39045	dac
O05935	oxoO
Q6A8X5	PPA1039
Q9Y6M4	CSNK1G3
Q15418	RPS6KA1
Q4W9V8	AFUA_4G03560
Q7AUG5	dehB
P41231	P2RY2
Q8RQE9	rpoB
Q8RQE8	rpoC
O14957	UQCR11
Q54AI1	B1A51_02705
Q9H1R3	MYLK2
P51681	CCR5
P20276	rpl2
P06881	CALCA
Q16602	CALCRL
P29371	TACR3
Q15648	MED1
P49356	FNTB
P49354	FNTA
P17342	NPR3
Q16206	ENOX2
Q7DHH4	mecA
P20292	ALOX5AP
Q01726	MC1R
Q5XXA6	ANO1
P56696	KCNQ4
Q9NR82	KCNQ5
P15382	KCNE1
P20273	CD22
Q5T4S7	UBR4
Q8WXI7	MUC16
P27695	APEX1
P08865	RPSA
O14672	ADAM10
Q9Y6K9	IKBKG
P25929	NPY1R
Q15761	NPY5R
P50391	NPY4R
P51686	CCR9
Q969S8	HDAC10
Q96DB2	HDAC11
Q9UQL6	HDAC5
P06280	GLA
O11885	P
Q07973	CYP24A1
Q13443	ADAM9
Q86US8	SMG6
Q96KG9	SCYL1
Q15185	PTGES3
P30411	BDKRB2
Q16831	UPP1
O95045	UPP2
P23560	BDNF
O39930	NS5b
Q96EB6	SIRT1
P24394	IL4R
Q14627	IL13RA2
Q03431	PTH1R
Q14416	GRM2
Q14832	GRM3
P48357	LEPR
Q13093	PLA2G7
P16144	ITGB4
P26010	ITGB7
P41597	CCR2
Q9GZP0	PDGFD
Q8IW54	PDE2A
Q6PEY2	TUBA3E
Q9H853	TUBA4B
Q13885	TUBB2A
Q9BVA1	TUBB2B
Q9BUF5	TUBB6
O96017	CHEK2
O14757	CHEK1
Q15759	MAPK11
O15264	MAPK13
P24158	PRTN3
A1Z199	BCR/ABL
Q8TDV5	GPR119
Q96BI3	APH1A
Q9NZ42	PSENEN
P04141	CSF2
Q16498	CSF2RA
P07359	GP1BA
A6PZ59	RHD
P43490	NAMPT
O30527	pcrV
Q6GJI1	metG
Q14894	CRYM
Q5T601	ADGRF1
P04229	HLA-DRB1
P21281	ATP6V1B2
Q9S427	PPI
Q8NFA2	NOXO1
Q69600	S
Q13882	PTK6
P35225	IL13
P37268	FDFT1
P16422	EPCAM
P40238	MPL
P48060	GLIPR1
P05155	SERPING1
P51164	ATP4B
P10147	CCL3
P35625	TIMP3
Q7L5Y9	MAEA
Q86VB7	CD163
P21926	CD9
P05305	EDN1
Q81ZL8	NE1940
Q9NNW7	TXNRD2
P51671	CCL11
P10145	CXCL8
P02749	APOH
Q9NPF7	IL23A
B0B3C9	NS3/4A
Q5NUL3	FFAR4
P0A786	pyrB
P0AD69	ftsI
Q96IY4	CPB2
O15496	PLA2G10
P22301	IL10
Q96AE4	FUBP1
P13861	PRKAR2A
P49190	PTH2R
Q9UNP4	ST3GAL5
P09429	HMGB1
O14763	TNFRSF10B
O14793	MSTN
Q15116	PDCD1
P58335	ANTXR2
Q9H6X2	ANTXR1
Q9Y6Q6	TNFRSF11A
P40763	STAT3
Q969F8	KISS1R
Q14956	GPNMB
O93182	gag
Q13233	MAP3K1
P04792	HSPB1
Q02224	CENPE
P20807	CAPN3
Q9UQB9	AURKC
Q9Y2T6	GPR55
P16615	ATP2A2
P06734	FCER2
P16410	CTLA4
P49674	CSNK1E
P72355	pbp4
P22460	KCNA5
P04439	HLA-A
P16788	UL97
Q68101	UL97
O15230	LAMA5
P07942	LAMB1
P11047	LAMC1
P25391	LAMA1
Q16787	LAMA3
Q9NPC1	LTB4R2
Q15722	LTB4R
Q00613	HSF1
P08887	IL6R
P11597	CETP
P31639	SLC5A2
Q9NQ25	SLAMF7
P01127	PDGFB
P15391	CD19
P25942	CD40
P01583	IL1A
P18510	IL1RN
P06858	LPL
P29965	CD40LG
P16070	CD44
P05112	IL4
Q9UQQ2	SH2B3
P36507	MAP2K2
Q9Y2U5	MAP3K2
Q13555	CAMK2G
P16389	KCNA2
P22001	KCNA3
P17658	KCNA6
Q96RP8	KCNA7
Q16322	KCNA10
Q14721	KCNB1
Q92953	KCNB2
P48547	KCNC1
Q96PR1	KCNC2
Q14003	KCNC3
Q9NSA2	KCND1
P21452	TACR2
P32745	SSTR3
Q6QNK2	ADGRD1
P10589	NR2F1
Q15750	TAB1
P06434	UL122
P06435	UL122
P12814	ACTN1
Q99623	PHB2
P31327	CPS1
Q7ZJM1	pol
P48061	CXCL12
Q8NEB9	PIK3C3
A0A0M3KKX1	dfrB
Q15661	TPSAB1
Q3JUV5	ppa
Q5L1E2	mtnW
P48552	NRIP1
P00781	apr
P10614	ERG11
Q9I5I9	sdsA1
P53350	PLK1
Q16651	PRSS8
P08217	CELA2A
Q82IZ1	ptlH
P78536	ADAM17
Q51948	nahD
Q83WG3	staP
Q9I596	PA0845
P22088	lip
Q8DNV6	murF
P23467	PTPRB
P13051	UNG
P0A988	dnaN
P45984	MAPK9
P43813	ligA
Q99933	BAG1
P9WGV3	ahcY
Q13133	NR1H3
Q07817	BCL2L1
Q55813	slr0095
A0A0H2Z368	assT
Q13554	CAMK2B
P42892	ECE1
P51955	NEK2
P53609	PGGT1B
Q9UGN5	PARP2
Q8KI25	rbmD
Q05397	PTK2
P0C6X7	rep
Q8GI16	carAc
Q84II6	carAa
P03367	gag-pol
P56601	hemY
P32397	hemY
Q9NQS7	INCENP
Q8IVS2	MCAT
P06202	oppA
Q01043	72
O75460	ERN1
P9WI73	pknG
Q15118	PDK1
Q79FX8	mmaA4
P0A333	kcsA
P20581	pqsE
Q820T1	fabH
Q9KU37	nagZ
Q9UBT6	POLK
P52026	polA
O25928	fabZ
Q9KPI8	mtnN
P54997	soxB
P0AC47	frdB
P0A8Q0	frdC
P0A8Q3	frdD
Q494W8	CHRFAM7A
P95276	MT1988
C0H419	yngHB
A0A0H3JRU9	pycA
P03355	gag-pol
Q9HB40	SCPEP1
P47229	bphD
Q9WWU5	atsK
P19784	CSNK2A2
Q70I53	hdaH
O14818	PSMA7
P0A6G7	clpP
Q13627	DYRK1A
P0C6U8	1a
Q53119	appA
O67931	sqr
B7JBP8	AFE_1792
P95673	B1
P97253	A1
P0AF14	mtnN
Q9KEI9	rnhA
Q9H2G2	SLK
Q16566	CAMK4
P49761	CLK3
P17412	frdA
P17596	frdB
P17413	frdC
P33260	CYP2C18
Q9Y6F1	PARP3
Q9HCD5	NCOA5
Q9ZGI2	pikAIV
P9WPN5	cyp130
Q88016	pol
P26137	HA
P03437	HA
Q16644	MAPKAPK3
Q01581	HMGCS1
Q00536	CDK16
P10478	xynZ
P01116	KRAS
P0A3R9	ncsA
Q8EBR3	ispF
P29559	nisZ
Q5HEB7	ddl
P31751	AKT2
Q7MUW6	ptpA
Q6P093	AADACL2
Q4L5E3	pheS
Q4L5E4	pheT
Q7B8V4	a
Q15102	PAFAH1B3
Q13557	CAMK2D
Q9P289	STK26
P47205	lpxC
P07737	PFN1
P04587	gag-pol
P9WNH5	hsaD
Q9UHY7	ENOPH1
Q59721	bphK
Q0S9X1	RHA1_ro03865
P24183	fdnG
P0AAJ3	fdnH
P0AEK7	fdnI
Q72EF4	DVU_0624
Q72EF3	nrfA
P07026	sdiA
Q836J0	murI
P0A017	folA
Q15375	EPHA7
Q96NX5	CAMK1G
P49862	KLK7
P9WQ77	lat
P24182	accC
Q969V6	MRTFA
Q8WWL2	SPIRE2
P33905	traR
P55407	traR
P55408	traM
Q8AAK6	BT_0458
Q7BJM5	VIM-2
O75116	ROCK2
Q8NMG3	Cgl2612
P0AFL3	ppiA
Q5SHN3	rpsL
P80376	rpsK
P80377	rpsM
P0DOY6	rpsZ
Q5SJ76	rpsO
Q5SJH3	rpsP
P0DOY7	rpsQ
Q5SLQ0	rpsR
Q5SHP2	rpsS
P80380	rpsT
P80373	rpsD
Q5SHQ5	rpsE
Q5SLP8	rpsF
P17291	rpsG
P0DOY9	rpsH
P80374	rpsI
Q5SIH3	rpsU
P62658	rpsQ
P62661	rpsT
P62662	rpsB
P62663	rpsC
P62669	rpsI
P62660	rpsS
P80371	rpsB
P80372	rpsC
Q9I5F3	azoR1
O06796	Rv1761c
P06731	CEACAM5
Q57254	afaE3
Q9Z9H6	rpoA
Q8RQE7	rpoZ
Q5SKW1	sigA
P0A8V6	fadR
O75521	ECI2
P35243	RCVRN
P09142	luxF
P04324	nef
P63098	PPP3R1
Q08209	PPP3CA
P9WPF1	pks18
Q72497	gag
P43080	GUCA1A
P9WH69	nrdB
Q81R22	dfrA
O15143	ARPC1B
P61160	ACTR2
P61158	ACTR3
O15144	ARPC2
O15145	ARPC3
P59998	ARPC4
O15511	ARPC5
P28793	fadB
P28790	fadA
P48632	fpvA
P0A110	ndoB
P0A112	ndoC
Q5SHR6	rpoA
Q9A1B7	murI
P23083	IGHV1-2
P04211	IGLV7-43
Q53586	hpd
P9WIJ3	def
P25084	lasR
Q9HCP0	CSNK1G1
Q12866	MERTK
Q96GR2	ACSBG1
O75865	TRAPPC6A
Q86SZ2	TRAPPC6B
Q8IUR0	TRAPPC5
Q9Y296	TRAPPC4
Q9Y5R8	TRAPPC1
P43889	glmU
Q5EK40	chxA
Q460N3	PARP15
P40406	nagZ
Q6FEW8	ptsP
Q9KM65	cqsA
P44783	glpG
P11684	SCGB1A1
P14649	MYL6B
P19105	MYL12A
P12883	MYH7
P01768	IGHV3-30
O70038	pbp1b
P00524	V-SRC
P0A8P1	aat
Q8IU85	CAMK1D
O67854	snf
P37957	estA
P04825	pepN
P35568	IRS1
P25786	PSMA1
P25787	PSMA2
P25788	PSMA3
P25789	PSMA4
P28066	PSMA5
P60900	PSMA6
P49721	PSMB2
P49720	PSMB3
P28070	PSMB4
P28072	PSMB6
Q99436	PSMB7
Q8DP79	def
Q53901	actII
P9WNW7	hsaC
Q5LI27	BF9343_0422
P01615	IGKV2D-28
P55196	AFDN
Q02054	SCO5089
Q9NWZ3	IRAK4
Q6GI75	fabI
Q15119	PDK2
Q9UKY3	CES1P1
Q939D2	katG
P29894	mauB
P22619	mauA
P29899	moxG
Q8VUS8	qhnDH
P0A9J8	pheA
P9WIB9	Rv1885c
P84887	aauA
P84888	aauB
P04390	ecoRVR
Q92793	CREBBP
Q9FBC5	fabK
Q3JP94	BURPS1710b_3237
Q9NPJ3	ACOT13
P0AEG4	dsbA
P0A6M2	dsbB
Q72LA5	nrfC
Q72LA4	TT_C0155
Q72LA6	TT_C0153
Q9ZLT0	murI
P80192	MAP3K9
A7J8L3	PP1a
Q672W7	def
Q9HBL8	NMRAL1
P16218	celH
P01106	MYC
O75330	HMMR
P13611	VCAN
Q07021	C1QBP
P10915	HAPLN1
Q96S86	HAPLN3
Q86UW8	HAPLN4
Q14520	HABP2
Q6UX15	LAYN
Q8WWQ8	STAB2
P98066	TNFAIP6
Q9BZV3	IMPG2
Q5JVS0	HABP4
Q08460	Kcnma1
Q9UHC3	ASIC3
Q9NSD5	SLC6A13
P48066	SLC6A11
P48065	SLC6A12
Q9H228	S1PR5
P28908	TNFRSF8
Q18BX5	sigA1
P49763	PGF
P49765	VEGFB
P08697	SERPINF2
P28062	PSMB8
P28065	PSMB9
P40306	PSMB10
P25092	GUCY2C
Q16832	DDR2
P13423	pagA
P9WPS1	atpE
P13866	SLC5A1
Q14145	KEAP1
