,ProteinID,GeneNames,Transcription regulation,Transmembrane,DNA-binding,Kinase,metaboli,RNA-binding,signal,enzyme,ase,Enzyme,Oncogene,TSG
5422,P55087,AQP4,0,1,0,0,0,0,0,0,0,0,0,0
5423,Q6UW56,ATRAID,0,1,0,0,0,0,0,0,0,0,0,0
5424,Q8WWN8,ARAP3,0,0,0,0,0,0,0,0,1,0,0,0
5425,Q8IWT0,ZBTB8OS,0,0,0,0,0,0,0,0,0,0,0,0
5426,P53367,ARFIP1,0,0,0,0,0,0,0,0,0,0,0,0
5427,P31944,CASP14,0,0,0,0,0,0,0,0,1,1,0,0
5428,Q13795,ARFRP1,0,0,0,0,0,0,0,0,0,1,0,0
5429,Q8N8R5,C2orf69,0,0,0,0,0,0,0,0,0,0,0,0
5430,A8MZ97,C2orf74,0,1,0,0,0,0,0,0,0,0,0,0
5431,Q53S99,C2orf83,0,0,0,0,0,0,0,0,0,0,0,0
5432,A0A1B0GVN3,C2orf92,0,1,0,0,0,0,0,0,0,0,0,0
5433,P80098,CCL7,0,0,0,0,0,0,0,0,0,0,0,0
5434,Q9BSQ5,CCM2,0,0,0,0,0,0,0,0,1,0,0,0
5435,O96020,CCNE2,0,0,0,0,0,0,0,0,0,1,0,0
5436,Q16589,CCNG2,0,0,0,0,0,0,0,0,0,0,0,0
5437,P51946,CCNH,1,0,0,0,0,0,0,0,0,1,0,0
5438,Q8ND76,CCNY,0,0,0,0,0,0,1,0,0,0,0,0
5439,Q86WX3,RPS19BP1,0,0,0,0,0,0,0,0,0,0,0,0
5440,O15144,ARPC2,0,0,0,0,0,0,0,0,0,0,0,0
5441,P61158,ACTR3,0,0,0,0,0,0,0,0,0,0,0,0
5442,O00421,CCRL2,0,1,0,0,0,0,0,0,0,0,0,0
5443,Q6IQ19,CCSAP,0,0,0,0,0,0,0,0,0,0,0,0
5444,P51690,ARSE,0,0,0,0,0,0,0,0,1,1,0,0
5445,P54793,ARSF,0,0,0,0,0,0,0,0,1,1,0,0
5446,Q96EG1,ARSG,0,0,0,0,0,0,0,0,1,1,0,0
5447,Q5FYB1,ARSI,0,0,0,0,0,0,0,0,1,1,0,0
5448,Q5T4W7,ARTN,0,0,0,0,0,0,0,0,0,0,0,0
5449,Q9C0I3,CCSER1,0,0,0,0,0,0,0,0,0,0,0,0
5450,P10523,SAG,0,0,0,0,0,0,0,0,0,0,0,0
5451,Q9H1I8,ASCC2,1,0,0,0,0,0,0,0,0,0,0,0
5452,Q8WXH4,ASB11,0,0,0,0,0,0,0,0,0,0,0,0
5453,Q9UHC3,ASIC3,0,1,0,0,0,0,0,0,0,0,0,0
5454,P86790,CCZ1B,0,0,0,0,0,0,0,0,0,0,0,0
5455,Q96L96,ALPK3,0,0,0,1,0,0,0,0,1,1,0,0
5456,Q9BXJ7,AMN,0,1,0,0,0,0,0,0,1,0,0,0
5457,P19961,AMY2B,0,0,0,0,1,0,0,0,1,1,0,0
5458,Q9Y264,ANGPT4,0,0,0,0,0,0,0,0,0,0,0,0
5459,Q99873,PRMT1,0,0,0,0,0,0,0,0,1,1,0,0
5460,Q6UW01,CBLN3,0,0,0,0,0,0,0,0,0,0,0,0
5461,Q9NTU7,CBLN4,0,0,0,0,0,0,0,0,0,0,0,0
5462,Q9BR77,CCDC77,0,0,0,0,0,0,0,0,0,0,0,0
5463,A2IDD5,CCDC78,0,0,0,0,0,0,0,0,0,0,0,0
5464,Q9H6F5,CCDC86,0,0,0,0,0,0,0,0,0,0,0,0
5465,Q7Z6B0,CCDC91,0,0,0,0,0,0,0,0,0,0,0,0
5466,Q6ZUT6,CCDC9B,0,0,0,0,0,0,0,0,0,0,0,0
5467,O95273,CCNDBP1,0,0,0,0,0,0,0,0,0,0,0,0
5468,Q16204,CCDC6,0,0,0,0,0,0,0,0,0,0,0,1
5469,Q96M83,CCDC7,0,0,0,0,0,0,0,0,0,0,0,0
5470,Q9Y698,CACNG2,0,1,0,0,0,0,0,0,1,0,0,0
5471,Q9UBN1,CACNG4,0,1,0,0,0,0,0,0,0,0,0,0
5472,P62955,CACNG7,0,1,0,0,0,0,0,0,0,0,0,0
5473,P06307,CCK,0,0,0,0,0,0,0,0,0,0,0,0
5474,P55773,CCL23,0,0,0,0,0,0,0,0,0,0,0,0
5475,Q9Y258,CCL26,0,0,0,0,0,0,0,0,0,0,0,0
5476,Q9Y4X3,CCL27,0,0,0,0,0,0,0,0,0,0,0,0
5477,P13236,CCL4,0,0,0,0,0,0,0,0,0,0,0,0
5478,P13501,CCL5,0,0,0,0,0,0,0,0,0,1,0,0
5479,P30279,CCND2,0,0,0,0,0,0,0,0,1,0,1,0
5480,Q14094,CCNI,0,0,0,0,0,0,0,0,0,0,0,0
5481,Q9UK58,CCNL1,1,0,0,0,0,0,0,0,0,0,0,0
5482,Q8N1B3,CCNQ,0,0,0,0,0,0,0,0,0,0,0,0
5483,P32246,CCR1,0,1,0,0,0,0,0,0,0,0,0,0
5484,Q5FYA8,ARSH,0,1,0,0,0,0,0,0,1,1,0,0
5485,P11245,NAT2,0,0,0,0,0,0,0,0,1,1,0,0
5486,Q13510,ASAH1,0,0,0,0,0,0,0,0,1,1,0,0
5487,Q9NR71,ASAH2,0,1,0,0,1,0,0,0,1,1,0,0
5488,Q8WXK1,ASB15,0,0,0,0,0,0,0,0,0,0,0,0
5489,Q9ULH1,ASAP1,0,0,0,0,0,0,0,0,1,0,0,0
5490,A6NEK1,ARRDC5,0,0,0,0,0,0,0,0,0,0,0,0
5491,Q9Y574,ASB4,0,0,0,0,0,0,0,0,0,1,0,0
5492,Q9NY37,ASIC5,0,1,0,0,0,0,0,0,0,0,0,0
5493,Q9Y294,ASF1A,1,0,0,0,0,0,0,0,0,0,0,0
5494,P42127,ASIP,0,0,0,0,0,0,0,0,0,0,0,0
5495,P0C7X3,CCNYL3,0,0,0,0,0,0,0,0,0,0,0,0
5496,P86791,CCZ1,0,0,0,0,0,0,0,0,0,0,0,0
5497,P78348,ASIC1,0,1,0,0,0,0,0,0,0,0,0,0
5498,A6H8M9,CDHR4,0,1,0,0,0,0,0,0,0,0,0,0
5499,Q6ICH7,ASPHD2,0,1,0,0,0,0,0,0,1,1,0,0
5500,Q14004,CDK13,0,0,0,1,0,0,0,0,1,1,0,0
5501,Q9C0F0,ASXL3,1,0,0,0,0,0,0,0,0,0,0,0
5502,Q2TB18,ASTE1,0,0,0,0,0,0,0,0,0,1,0,0
5503,Q9NQ11,ATP13A2,0,1,0,0,0,0,0,0,1,1,0,0
5504,P42330,AKR1C3,0,0,0,0,0,0,0,0,1,1,0,0
5505,P47756,CAPZB,0,0,0,0,0,0,0,0,0,0,0,0
5506,Q9Y5C1,ANGPTL3,0,0,0,0,1,0,0,0,0,0,0,0
5507,Q92527,ANKRD7,0,0,0,0,0,0,0,0,0,0,0,0
5508,Q8N957,ANKFN1,0,0,0,0,0,0,0,0,0,0,0,0
5509,P55064,AQP5,0,1,0,0,0,0,0,0,1,0,0,0
