sNET, RSS of Yobs-YNF without the left out experiment, RSS of Pobs-PNF without the left out experiment, WRSS of Yobs-YNF without the left out experiment, WRSS of Pobs-PNF without the left out experiment, RSS of Yobs without the left out experiment , RSS of Pobs without the left out experiment , WRSS of Yobs without the left out experiment , WRSS of Pobs without the left out experiment , RSS(Yobs), RSS(Pobs), WRSS(Yobs), WRSS(Pobs), RSS(Eobs), RSS(Fobs), WRSS(Eobs), WRSS(Fobs), RSS(Yobs-Ypred) LOO, RSS(Pobs-Ppred) LOO, WRSS(Yobs-Ypred) LOO, WRSS(Pobs-Ppred) LOO, Y pred for LOO, RSS of linear combination of P, WRSS of prediction of Y, SPCorr, relErrorY, relErrorP, relErrorYdouble, relErrorPdouble
FITBolasso_network_L1557_M115_support97_1.27e-04,945.133,21.2126,668.269,1473.09,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1007.92,21.5307,712.667,1495.19,5520870,18.2095,3903610,1264.55,5520870,25.0835,3903610,0.0385698,0.290278,0.314409,0.31754,0.307581
FITBolsco_network_L1497_M115_support99.5_1.36e-03,999.66,22.4602,706.823,1559.74,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1044.66,22.9732,738.64,1595.36,5715860,20.6917,4041480,1436.92,5715860,25.0835,4041480,0.0876782,0.329018,0.330189,0.329113,0.328189
complimentRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1257.07,27.3545,888.831,1899.62,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1167.88,29.0333,825.764,2016.2,5982320,22.8653,4229880,1587.87,5982320,25.0835,4229880,0.176665,0.401199,0.3907,0.367933,0.414762
complimentRandomFit_Bolasso_network_L1325_M115_support97.5_8.76e-04,1114.04,25.6075,787.7,1778.3,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1201.1,25.877,849.256,1797.01,6042260,21.194,4272260,1471.8,6042260,25.0835,4272260,0.0528462,0.370947,0.374135,0.3784,0.369671
indegreeRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1032.71,24.199,730.192,1680.49,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1127.52,23.821,797.228,1654.23,6306190,24.4902,4458880,1700.7,6306190,25.0835,4458880,0.0547553,0.323918,0.358332,0.355218,0.3403
indegreeRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,935.925,22.2528,661.759,1545.33,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1030.84,22.1071,728.872,1535.22,6374490,21.0605,4507170,1462.54,6374490,25.0835,4507170,0.05479,0.297182,0.329084,0.324761,0.315816
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1118.71,22.6211,790.997,1570.91,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,984.42,25.1587,696.048,1747.14,6392390,20.1458,4519820,1399.02,6392390,25.0835,4519820,0.138328,0.36299,0.325886,0.310136,0.359411
FITBotlsco_network_L138_M115_support6_1.28e-01,584.601,11.7974,413.35,819.266,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,528.321,13.2273,373.556,918.565,6600020,12.5952,4666630,874.669,6600020,25.0835,4666630,0.0441091,0.192588,0.174153,0.166444,0.188962
indegreeRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1050.02,24.0076,742.431,1667.2,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1105.19,24.4658,781.442,1699.01,6791230,23.9148,4801830,1660.75,6791230,25.0835,4801830,0.0761788,0.358796,0.339462,0.348184,0.349511
indegreeRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,991.86,23.3102,701.308,1618.77,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1102.2,22.8616,779.324,1587.61,7670920,22.3629,5423830,1552.98,7670920,25.0835,5423830,0.0518149,0.323184,0.339386,0.347241,0.326594
indegreeRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1004.44,21.2207,710.205,1473.66,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1045.96,21.68,739.557,1505.55,7798420,18.7203,5513980,1300.02,7798420,25.0835,5513980,0.00195831,0.319861,0.30725,0.329522,0.309714
FITBolasso_network_L1441_M115_support97.2_5.04e-04,1058.42,22.9837,748.369,1596.09,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1115.76,23.4447,788.915,1628.1,8239460,19.8297,5825820,1377.06,8239460,25.0835,5825820,0.0508316,0.354766,0.336698,0.351514,0.334924
complimentRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1267.29,28.0498,896.056,1947.9,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1383.11,28.2659,977.947,1962.91,8423350,23.4246,5955840,1626.71,8423350,25.0835,5955840,0.0864898,0.390826,0.408589,0.43574,0.403799
FITBolasso_network_L1531_M115_support97_2.20e-04,937.569,21.076,662.921,1463.61,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,966.33,21.672,683.257,1505,8914930,18.2112,6303420,1264.67,8914930,25.0835,6303420,0.036415,0.290065,0.309499,0.304436,0.3096
FITBolsco_network_L1542_M115_support96.8_7.83e-04,958.062,21.6697,677.411,1504.84,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,986.015,22.2847,697.175,1547.55,9213090,20.0547,6514240,1392.69,9213090,25.0835,6514240,0.141583,0.31237,0.325383,0.310638,0.318353
indegreeRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1090.37,25.2699,770.958,1754.85,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1203.7,25.1532,851.089,1746.75,9368490,24.1645,6624120,1678.09,9368490,25.0835,6624120,0.339032,0.346635,0.36519,0.379217,0.359331
complimentRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1180.68,24.7524,834.819,1718.91,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1141.12,25.9881,806.847,1804.73,9851110,19.9211,6965360,1383.41,9851110,25.0835,6965360,0.119159,0.379404,0.371127,0.359504,0.371258
complimentRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1161.16,24.4357,821.015,1696.92,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1119.99,25.7115,791.905,1785.52,9875510,19.6386,6982610,1363.79,9875510,25.0835,6982610,0.125443,0.382843,0.344224,0.352846,0.367308
FITBotlsco_network_L907_M115_support87.4_1.41e-02,658.904,13.8605,465.887,962.538,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,670.671,14.3494,474.207,996.485,10579800,15.1375,7480560,1051.22,10579800,25.0835,7480560,-0.00551568,0.234416,0.196206,0.211291,0.204991
FITBotlsco_network_L616_M115_support76.4_2.45e-02,598.097,12.5531,422.893,871.74,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,507.121,14.4984,358.566,1006.83,10946300,13.0058,7739710,903.181,10946300,25.0835,7739710,0.103142,0.160681,0.207657,0.159765,0.207119
FITBolasso_network_L1583_M115_support97.1_5.88e-05,977.822,21.4205,691.382,1487.54,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1009.15,22.0053,713.536,1528.14,11412400,19.5353,8069320,1356.62,11412400,25.0835,8069320,0.0107803,0.29549,0.326797,0.317928,0.314361
indegreeRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1136.09,25.3865,803.287,1762.95,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1101.86,26.9615,779.085,1872.33,11583800,25.2506,8190490,1753.51,11583800,25.0835,8190490,0.0227688,0.377392,0.366701,0.347134,0.385164
indegreeRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1173.04,26.7705,829.417,1859.06,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1237.77,27.262,875.185,1893.2,13408500,23.6736,9480640,1644,13408500,25.0835,9480640,0.228035,0.361851,0.39339,0.389953,0.389458
complimentRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1221.79,26.2605,863.883,1823.65,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1264.19,26.9769,893.864,1873.4,14288800,21.2895,10103100,1478.43,14288800,25.0835,10103100,0.166657,0.374404,0.389128,0.398276,0.385385
complimentRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1071.64,25.0913,757.718,1742.45,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1149.59,25.3713,812.835,1761.9,16528400,21.1742,11686600,1470.43,16528400,25.0835,11686600,0.0906102,0.3537,0.376227,0.362172,0.362447
indegreeRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1089.67,24.5587,770.467,1705.46,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1087.24,25.6161,768.746,1778.9,17340700,21.2913,12261000,1478.57,17340700,25.0835,12261000,0.206718,0.331556,0.360923,0.342528,0.365945
complimentRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1183.52,24.5186,836.821,1702.68,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1090.21,26.5383,770.847,1842.94,17767100,20.8717,12562500,1449.42,17767100,25.0835,12562500,0.13529,0.37288,0.351588,0.343464,0.379118
FITBolsco_network_L499_M115_support82.5_2.15e-02,936.688,19.096,662.298,1326.11,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,977.27,19.5042,690.992,1354.46,19892500,18.0294,14065200,1252.04,19892500,25.0835,14065200,0.13431,0.325222,0.277181,0.307883,0.278631
complimentRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1175.9,24.3498,831.437,1690.96,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1203.35,25.1102,850.844,1743.76,20358200,21.2215,14394500,1473.71,20358200,25.0835,14394500,0.100545,0.387066,0.35541,0.379107,0.358717
FITBolasso_network_L1325_M115_support97.5_8.76e-04,1147.09,23.9333,811.063,1662.03,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1172.52,24.6891,829.048,1714.52,27040200,20.5327,19119100,1425.88,27040200,25.0835,19119100,0.101584,0.360259,0.355988,0.369396,0.352702
indegreeRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1179.32,24.2654,833.852,1685.1,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1239.28,24.725,876.25,1717.02,28558800,22.2359,20192900,1544.16,28558800,25.0835,20192900,0.234799,0.388449,0.350149,0.390428,0.353215
FITBotlsco_network_L59_M115_support6.7_2.23e-01,56.5259,64.2487,39.9674,4461.71,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,6.87502,68.9342,4.86108,4787.1,31779800,92.8071,22470300,6444.93,31779800,25.0835,22470300,0.0214731,0.00153105,0.974329,0.00216593,0.984775
indegreeRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1139.55,26.8245,805.737,1862.81,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1230.74,26.9822,870.212,1873.77,32476200,25.0881,22962800,1742.23,32476200,25.0835,22962800,0.154979,0.366868,0.390882,0.387737,0.38546
complimentRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1255.75,25.9438,887.896,1801.65,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1250.91,27.0574,884.471,1878.99,34495000,22.5184,24390100,1563.78,34495000,25.0835,24390100,0.0737754,0.425655,0.376028,0.394091,0.386534
FITBolasso_network_L1600_M115_support100.1_1.27e-06,985.208,23.0965,696.605,1603.93,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1003.29,23.8627,709.391,1657.13,35179800,19.1932,24874400,1332.86,35179800,25.0835,24874400,0.0854232,0.311422,0.336369,0.316081,0.340895
complimentRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1090.14,25.0969,770.797,1742.84,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1082.18,26.2015,765.172,1819.55,37994900,22.4413,26864800,1558.42,37994900,25.0835,26864800,0.168344,0.34592,0.371033,0.340935,0.374307
indegreeRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,980.84,23.2981,693.516,1617.93,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1146.41,22.4109,810.585,1556.31,38708200,21.1819,27369100,1470.97,38708200,25.0835,27369100,0.165815,0.317757,0.336221,0.361169,0.320155
indegreeRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,970.491,22.0155,686.199,1528.85,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,995.477,22.6543,703.866,1573.21,41617100,21.9542,29426000,1524.59,41617100,25.0835,29426000,0.094858,0.301788,0.32741,0.313619,0.323632
indegreeRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1131.69,23.0183,800.174,1598.5,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1025.52,25.0209,725.109,1737.56,46131100,20.1335,32617600,1398.16,46131100,25.0835,32617600,0.0817149,0.359575,0.340171,0.323084,0.357441
FITBolsco_network_L1581_M115_support97_3.42e-04,933.206,19.551,659.836,1357.71,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1029.7,19.5395,728.061,1356.91,47373700,17.8191,33496200,1237.44,47373700,25.0835,33496200,0.120817,0.314274,0.29042,0.324399,0.279136
FITBolasso_network_L1546_M115_support97.1_1.67e-04,1051.98,21.9025,743.818,1521.01,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1032.01,22.9182,729.698,1591.54,49269200,18.5557,34836500,1288.59,49269200,25.0835,34836500,0.0356725,0.328426,0.323763,0.325129,0.327403
complimentRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,251.327,175.921,177.704,12216.7,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,2.75116,227.368,1.94525,15789.4,49905100,333.767,35286100,23178.3,49905100,25.0835,35286100,0.133875,0.000907767,3.24277,0.000866737,3.24811
FITBolasso_network_L1514_M115_support97_2.90e-04,944.64,21.3532,667.92,1482.86,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,969.029,21.9904,685.165,1527.11,50421600,18.1543,35651300,1260.72,50421600,25.0835,35651300,0.0601548,0.286328,0.317869,0.305287,0.314149
indegreeRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,999.176,23.915,706.481,1660.77,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1087.62,23.7728,769.015,1650.89,50633200,21.6278,35800900,1501.93,50633200,25.0835,35800900,0.0207992,0.3059,0.355801,0.342647,0.339612
indegreeRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1119,23.4993,791.202,1631.89,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1154.68,24.1306,816.43,1675.74,51133000,22.8359,36154300,1585.83,51133000,25.0835,36154300,0.0985191,0.37869,0.336592,0.363774,0.344723
indegreeRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1055.72,21.5152,746.459,1494.11,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1103.93,21.8031,780.548,1514.1,52575700,20.4091,37174400,1417.3,52575700,25.0835,37174400,0.141684,0.335132,0.310326,0.347786,0.311472
complimentRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1159.94,25.331,820.149,1759.1,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1148.07,26.3453,811.757,1829.53,53031400,18.7334,37496500,1300.93,53031400,25.0835,37496500,-0.00939754,0.383723,0.362316,0.361692,0.376361
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1214.08,27.6937,858.431,1923.17,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1223.52,28.6993,865.107,1993.01,56061100,23.9367,39638800,1662.27,56061100,25.0835,39638800,0.00839293,0.386468,0.407131,0.385463,0.40999
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1135.27,25.5809,802.71,1776.45,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1300.31,25.3064,919.403,1757.39,64229800,22.212,45414600,1542.5,64229800,25.0835,45414600,0.0626197,0.358444,0.377297,0.409655,0.36152
FITBolasso_network_L666_M115_support95.2_4.60e-03,1118.91,25.0933,791.141,1742.59,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1154.01,25.8048,815.962,1792,65041700,21.0743,45988600,1463.49,65041700,25.0835,45988600,0.0854278,0.384611,0.369064,0.363565,0.368641
complimentRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1154.29,25.8387,816.158,1794.35,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1235.13,26.2267,873.318,1821.3,73525600,21.1791,51987300,1470.77,73525600,25.0835,51987300,0.102498,0.400286,0.379804,0.389121,0.374667
indegreeRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,949.313,22.1225,671.225,1536.28,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,986.88,22.6251,697.787,1571.19,73785500,20.4867,52171000,1422.69,73785500,25.0835,52171000,0.0935319,0.294543,0.326914,0.310911,0.323216
FITBotlsco_network_L170_M115_support10_9.74e-02,585.491,11.5917,413.979,804.98,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,497.774,13.491,351.958,936.876,74699000,12.7785,52816900,887.399,74699000,25.0835,52816900,0.00883833,0.198862,0.167187,0.156821,0.192729
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,988.678,23.5369,699.059,1634.51,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1079.15,23.4878,763.027,1631.1,75068900,20.5039,53078500,1423.88,75068900,25.0835,53078500,0.169689,0.308128,0.343101,0.339979,0.33554
indegreeRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1021.34,22.4887,722.151,1561.72,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,962.886,24.1551,680.822,1677.44,77051700,19.9359,54480500,1384.44,77051700,25.0835,54480500,0.18351,0.344861,0.325284,0.303351,0.345073
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1029.78,22.1189,728.123,1536.04,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,977.225,23.4913,690.96,1631.34,79892400,16.7085,56489000,1160.31,79892400,25.0835,56489000,0.0688838,0.349812,0.32204,0.307869,0.33559
FITBolsco_network_L383_M115_support80.4_2.84e-02,784.642,16.9366,554.792,1176.16,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,697.152,18.744,492.931,1301.66,83573500,16.5806,59091800,1151.43,83573500,25.0835,59091800,0.083263,0.256126,0.253884,0.219634,0.267771
indegreeRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1065.62,22.0849,753.458,1533.68,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1147.04,22.2113,811.03,1542.45,84934600,20.2696,60054200,1407.61,84934600,25.0835,60054200,0.139337,0.339205,0.312064,0.361368,0.317304
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1170.27,25.0431,827.457,1739.11,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1147.98,26.2368,811.696,1822,84950400,21.5835,60065400,1498.85,84950400,25.0835,60065400,-0.00531406,0.391669,0.36682,0.361665,0.374811
complimentRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1243.41,25.4798,879.171,1769.43,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1197.85,26.8971,846.956,1867.86,87793700,19.9129,62075700,1382.84,87793700,25.0835,62075700,0.10051,0.415636,0.366509,0.377375,0.384244
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1171.46,26.0293,828.297,1807.59,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1215.2,26.7074,859.223,1854.68,87963600,21.1558,62195900,1469.15,87963600,25.0835,62195900,0.135213,0.340919,0.388903,0.382841,0.381535
FITBolasso_network_L785_M115_support95.7_3.49e-03,1186.83,25.7092,839.165,1785.36,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1140.07,27.008,806.103,1875.56,97178600,20.8938,68711500,1450.96,97178600,25.0835,68711500,0.0989202,0.390531,0.382527,0.359173,0.385829
FITBolsco_network_L1591_M115_support97_1.60e-04,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1593_M115_support97.1_7.46e-05,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1596_M115_support97.1_3.53e-05,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1597_M115_support97.1_1.70e-05,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1598_M115_support97.1_1.86e-06,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1598_M115_support97.1_2.71e-06,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1598_M115_support97.1_4.54e-06,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1598_M115_support97.1_8.48e-06,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
FITBolsco_network_L1599_M115_support97.1_1.47e-06,845.517,19.6624,597.834,1365.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,883.752,20.0885,624.869,1395.04,104064000,18.8152,73579700,1306.61,104064000,25.0835,73579700,0.0755428,0.280603,0.292859,0.278421,0.286979
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1119.46,22.5321,791.533,1564.73,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1179.09,22.9538,833.693,1594.02,110838000,20.5821,78369500,1429.31,110838000,25.0835,78369500,0.0453331,0.365654,0.319975,0.371466,0.327912
complimentRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1213.78,25.7537,858.221,1788.45,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1188.12,26.9983,840.073,1874.88,129907000,22.9374,91852600,1592.88,129907000,25.0835,91852600,0.137961,0.382584,0.3767,0.374309,0.385691
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1166.24,24.5899,824.606,1707.63,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1061.46,26.5245,750.519,1841.98,162222000,21.0202,114701000,1459.73,162222000,25.0835,114701000,0.0557838,0.377801,0.3467,0.334406,0.378921
indegreeRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1130.47,23.1832,799.315,1609.94,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1038.27,25.001,734.123,1736.18,187388000,21.7738,132495000,1512.07,187388000,25.0835,132495000,0.238411,0.36944,0.338138,0.327101,0.357157
complimentRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1118.53,25.3159,790.87,1758.05,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1188.62,25.7203,840.431,1786.13,194627000,22.587,137614000,1568.54,194627000,25.0835,137614000,0.129371,0.369545,0.375475,0.374468,0.367433
complimentRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1022.32,23.9653,722.842,1664.26,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1068.29,24.4861,755.348,1700.42,203319000,22.7824,143759000,1582.11,203319000,25.0835,143759000,0.170047,0.314581,0.351507,0.336558,0.349801
FITBolasso_network_L1384_M115_support97.4_6.65e-04,1089.55,23.7376,770.385,1648.44,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,999.691,25.4661,706.845,1768.48,223655000,21.6426,158139000,1502.96,223655000,25.0835,158139000,0.0125037,0.365617,0.347046,0.314947,0.363802
FITBolsco_network_L1466_M115_support96.4_1.79e-03,946.441,20.4746,669.194,1421.85,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1054.06,20.4202,745.288,1418.07,235405000,19.0086,166446000,1320.04,235405000,25.0835,166446000,0.242041,0.286038,0.31687,0.332075,0.291717
complimentRandomFit_Bolasso_network_L1145_M115_support97.5_1.52e-03,1033.35,23.7954,730.642,1652.46,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1166.34,23.4256,824.673,1626.77,371842000,22.1789,262916000,1540.2,371842000,25.0835,262916000,0.0496238,0.31478,0.345593,0.367447,0.334651
FITBolsco_network_L1423_M115_support96.2_2.36e-03,1023.73,21.4138,723.841,1487.07,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,986.795,22.5456,697.727,1565.67,463080000,19.8443,327427000,1378.08,463080000,25.0835,327427000,0.293146,0.30606,0.332879,0.310884,0.32208
complimentRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1071.82,24.1726,757.845,1678.65,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1078.07,25.1064,762.261,1743.5,565177000,20.0155,399616000,1389.96,565177000,25.0835,399616000,0.147347,0.32601,0.36,0.339638,0.358663
complimentRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1179.05,25.8156,833.662,1792.75,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1256.38,26.221,888.338,1820.9,600266000,19.4656,424426000,1351.78,600266000,25.0835,424426000,0.0209366,0.361693,0.374408,0.395814,0.374585
FITBolsco_network_L1497_M115_support96.6_1.36e-03,856.881,20.6356,605.869,1433.03,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,874.437,21.304,618.283,1479.45,713227000,18.6321,504297000,1293.9,713227000,25.0835,504297000,0.151217,0.290923,0.306114,0.275486,0.304343
