sNET, RSS of Yobs-YNF without the left out experiment, RSS of Pobs-PNF without the left out experiment, WRSS of Yobs-YNF without the left out experiment, WRSS of Pobs-PNF without the left out experiment, RSS of Yobs without the left out experiment , RSS of Pobs without the left out experiment , WRSS of Yobs without the left out experiment , WRSS of Pobs without the left out experiment , RSS(Yobs), RSS(Pobs), WRSS(Yobs), WRSS(Pobs), RSS(Eobs), RSS(Fobs), WRSS(Eobs), WRSS(Fobs), RSS(Yobs-Ypred) LOO, RSS(Pobs-Ppred) LOO, WRSS(Yobs-Ypred) LOO, WRSS(Pobs-Ppred) LOO, Y pred for LOO, RSS of linear combination of P, WRSS of prediction of Y, SPCorr, relErrorY, relErrorP, relErrorYdouble, relErrorPdouble
FITBolasso_network_L1441_M115_support99.4_5.04e-04,1324.11,28.5707,936.232,1984.08,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1237.14,30.1577,874.738,2094.28,23714.4,23.8876,16767.6,1658.86,23714.4,25.0835,16767.6,0.302826,0.445219,0.408983,0.389754,0.430824
FITBolasso_network_L1486_M115_support99.6_3.82e-04,1265.23,27.8413,894.595,1933.42,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1419.97,27.9604,1004.01,1941.7,24504.4,23.2948,17326.2,1617.69,24504.4,25.0835,17326.2,0.306988,0.386623,0.417416,0.447352,0.399434
FITBolsco_network_L206_M115_support69.2_4.93e-02,825.987,16.4657,584.025,1143.45,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,889.026,16.4682,628.598,1143.63,26414.9,16.4377,18677,1141.5,26414.9,25.0835,18677,0.28594,0.275348,0.242639,0.280082,0.23526
FITBolasso_network_L1599_M115_support100.1_5.88e-06,1414.74,30.5293,1000.31,2120.09,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1318.62,32.2589,932.349,2240.2,26859.5,25.1169,18991.3,1744.23,26859.5,25.0835,18991.3,0.287352,0.465338,0.444195,0.415424,0.460842
FITBolsco_network_L1556_M115_support100_5.94e-04,1406.67,30.1202,994.604,2091.68,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1308.23,31.9283,925.004,2217.24,27243.1,25.316,19262.6,1758.06,27243.1,25.0835,19262.6,0.234931,0.436585,0.451257,0.412151,0.456118
FITBolsco_network_L1542_M115_support99.9_7.83e-04,1289.57,28.0162,911.81,1945.57,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1290.08,29.0802,912.166,2019.46,27496.5,23.7754,19441.8,1651.07,27496.5,25.0835,19441.8,0.271369,0.38237,0.425112,0.406431,0.415431
indegreeRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,930.02,21.6943,657.583,1506.55,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,974.73,22.0863,689.196,1533.77,28400.4,21.6986,20080.9,1506.85,28400.4,25.0835,20080.9,0.370726,0.288443,0.320366,0.307083,0.315518
FITBolsco_network_L1568_M115_support100_4.51e-04,1341.27,29.3155,948.362,2035.8,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1297.49,30.7449,917.405,2135.07,28434.9,25.1432,20105.3,1746.05,28434.9,25.0835,20105.3,0.263954,0.435492,0.432657,0.408765,0.439213
FITBotlsco_network_L1517_M115_support99.3_1.26e-03,868.516,19.9963,614.096,1388.63,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,967.452,19.7388,684.05,1370.75,29561.3,18.9941,20901.7,1319.04,29561.3,25.0835,20901.7,0.308666,0.285857,0.295388,0.30479,0.281983
FITBotlsco_network_L293_M115_support44.9_5.61e-02,15.777,63.5732,11.1554,4414.8,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,16.2412,65.4341,11.4836,4544.03,29657.3,172.104,20969.6,11951.6,29657.3,25.0835,20969.6,0.211884,0.00499296,0.937478,0.00511671,0.934773
FITBolasso_network_L1600_M115_support100.1_1.27e-07,492.178,12.5946,348.001,874.622,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,590.542,11.6845,417.551,811.426,30692.2,15.2464,21701.3,1058.78,30692.2,25.0835,21701.3,0.204784,0.165402,0.183619,0.186047,0.166922
indegreeRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1102.65,22.8953,779.642,1589.95,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1182.41,23.0712,836.039,1602.17,31482.9,21.4178,22260.4,1487.35,31482.9,25.0835,22260.4,0.2934,0.360161,0.320745,0.372511,0.329588
FITBolasso_network_L1599_M115_support100.1_2.73e-06,1332.64,29.6572,942.259,2059.53,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1358.43,30.6092,960.499,2125.64,31859.4,25.5294,22526.6,1772.88,31859.4,25.0835,22526.6,0.266474,0.431717,0.431325,0.427966,0.437274
FITBolasso_network_L666_M115_support93.8_4.60e-03,1183.09,24.9153,836.523,1730.23,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1053.79,26.7228,745.096,1855.75,32653.7,20.9598,23088.2,1455.54,32653.7,25.0835,23088.2,0.237973,0.387871,0.365522,0.33199,0.381754
indegreeRandomFit_Bolasso_network_L1325_M115_support97.5_8.76e-04,991.757,20.9707,701.235,1456.3,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,940.259,22.3616,664.823,1552.89,33433.7,19.5699,23639.7,1359.02,33433.7,25.0835,23639.7,0.22368,0.331246,0.305684,0.296223,0.319451
indegreeRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,1022.29,23.1555,722.822,1608.02,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1046.48,23.8644,739.927,1657.25,33561.8,21.4321,23730.3,1488.34,33561.8,25.0835,23730.3,0.293127,0.317634,0.34811,0.329687,0.34092
